title,overview,release_date,year,top_genre
The Cabinet of Dr. Caligari,"Francis, a young man, recalls in his memory the horrible experiences he and his fiancée Jane recently went through. It is the annual fair in Holstenwall. Francis and his friend Alan visit The Cabinet of Dr. Caligari, an exhibit where the mysterious doctor shows the somnambulist Cesare, and awakens him for some moments from his death-like sleep. When Alan asks Cesare about his future, Cesare answers that he will die before dawn. The next morning Alan is found dead. Francis suspects Cesare of being the murderer, and starts spying on him and Dr. Caligari.",1920-02-25,1920,Horror
Angel's Egg,"A mysterious young girl wanders a desolate, otherworldly landscape, carrying a large egg.",1985-12-22,1985,Horror
Deep Red,"A musician witnesses the murder of a famous psychic, and then teams up with a fiesty reporter to find the killer while evading attempts on their lives by the unseen killer bent on keeping a dark secret buried.",1975-03-07,1975,Horror
The Cremator,"Kopfrkingl enjoys his job at a crematorium in Czechoslovakia in the late 1930s. He likes reading the Tibetan book of the dead, and espouses the view that cremation relieves earthly suffering.",1969-03-14,1969,Horror
Forklift Driver Klaus: The First Day on the Job,Short film depicting a fictional educational film about fork lift truck operational safety. The dangers of unsafe operation are presented in gory details.,2001-08-08,2001,Horror
Onibaba,"While her son, Kichi, is away at war, a woman and her daughter-in-law survive by killing samurai who stray into their swamp, then selling whatever valuables they find. Both are devastated when they learn that Kichi has died, but his wife soon begins an affair with a neighbor who survived the war, Hachi. The mother disapproves and, when she can't steal Hachi for herself, tries to scare her daughter-in-law with a mysterious mask from a dead samurai.",1964-11-21,1964,Horror
Kwaidan,"Taking its title from an archaic Japanese word meaning ""ghost story,"" this anthology adapts four folk tales. A penniless samurai marries for money with tragic results. A man stranded in a blizzard is saved by Yuki the Snow Maiden, but his rescue comes at a cost. Blind musician Hoichi is forced to perform for an audience of ghosts. An author relates the story of a samurai who sees another warrior's reflection in his teacup.",1964-12-29,1964,Horror
Kizumonogatari Part 1: Tekketsu,"One day, Koyomi Araragi encounters the horrifying vampire, Kiss-shot Acerola-orion Heart-under-blade A.K.A. the ""King of Apparitions."" He saves the fatally wounded Kiss-shot by offering his blood at the expense of his own life as a human. Now Koyomi has to face the vampire hunters to retrieve Kiss-shot’s limbs which were taken by these hunters...",2016-01-08,2016,Horror
The Parson's Widow,"A young man is elected by a small village to be its parson. As part of his duties, he is required to marry the widow of the parson before him. This poses two problems--first, the widow is old enough to be his grandmother, and second, he is already engaged to another woman.",1920-10-04,1920,Horror
Rosemary's Baby,A young couple moves into an infamous New York apartment building to start a family. Things become frightening as Rosemary begins to suspect her unborn baby isn’t safe around their strange neighbors.,1968-06-12,1968,Horror
Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",1932-02-12,1932,Horror
The Hourglass Sanatorium,"A young man named Josef visits a dilapidated Sanatorium to see his father Jakob.  On his arrival, a sinister doctor informs him that his father had stopped breathing but hasn't died yet, perhaps due to Josef's arrival which may have halted time in the sanatorium.  Josef undertakes a strange journey through the many rooms of the sanatorium, each which conjures worlds composed of his memories, dreams and nightmares",1973-12-11,1973,Horror
Marble Hornets,"When a film student decides to look through the tapes of a canceled project his friend Alex had directed, and he had participated in, he discovers that his friends have been stalked by a paranormal entity known as the Operator and decides to get himself involved.",2009-06-30,2009,Horror
The Kingdom,"The first part of a Danish miniseries that has been edited into two massive films, ""Riget"" is set in the neurosurgical ward of Copenhagen's Rigshospitalet, the city and country's main hospital, nicknamed ""Riget"". The show follows a number of characters, both staff and patients, as they encounter bizarre phenomena, both human and supernatural.",1994-11-23,1994,Horror
The Hand,"A happy little potter is approached by a huge hand which wants him to sculpt its statue. The potter refuses, wanting nothing more than to be left alone with his only friend, a potted plant. As the hand's request gives way to bribery, demands, and threats, the potter becomes more desperate to escape its clutch, leading to tragedy.",1965-10-26,1965,Horror
Tales from the Gimli Hospital,"While their mother is dying in the modern Gimli, Manitoba hospital, two young children are told an important tale by their Icelandic grandmother about Ainar the lonely, his friend Gunnar, and the angelic Snjofrieder in a Gimli of old.",1988-04-15,1988,Horror
I Saw the Devil,"Kyung-chul is a dangerous psychopath who kills for pleasure. He has committed infernal serial murders in diabolic ways that one cannot even imagine and his victims range from young women to even children. The police have chased him for a long time, but were unable to catch him. One day, Joo-yeon, daughter of a retired police chief becomes his prey and is found dead in a horrific state. Her fiance Soo-hyun, a top secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take bloody vengeance against the killer, even if it means that he must become a monster himself to get this monstrous and inhumane killer.",2010-08-12,2010,Horror
November,"In a Medieval Estonian village, a group of peasants use magic and folk remedies to survive the winter, and a young woman tries to get a young man to love her.",2017-02-03,2017,Horror
Tumbbad,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.",2018-10-12,2018,Horror
Nosferatu,Vampire Count Orlok is interested in a new residence and in his real estate agent’s young wife. F. W. Murnau’s unauthorized adaptation of Bram Stoker’s “Dracula.”,1922-02-17,1922,Horror
The Wolf House,"María, a girl from Colonia Dignidad, in Chile —a kind of sectarian community, tyrannically mastered by the ruthless Paul Schäfer, a German madman, religious fanatic and child predator, who would end up turning the place into a torture center at the service of the military dictatorship ruled by Augusto Pinochet—, is punished for having lost three pigs, so she decides to run away and take refuge in an abandoned house hidden in the forest.",2018-09-21,2018,Horror
The Inugamis,"When a tycoon passes away, he unexpectedly leaves the family fortune to outsider Tamayo on the condition that she marries one of the grandsons, pitting blood against blood.",1976-10-16,1976,Horror
Possibly in Michigan,"A musical horror story about two young women who are stalked through a shopping mall by a the cannibal named Arthur. He follows them home, and here the victims become the aggressors. It is a story of friendship, courage, frailty and fears that will not go away.",1983-01-01,1983,Horror
The Tenant,"A quiet and inconspicuous man rents an apartment in France where the previous tenant committed suicide, and begins to suspect his landlord and neighbors are trying to subtly change him into the last tenant so that he too will kill himself.",1976-05-26,1976,Horror
The Unknown,A criminal on the run hides in a circus and seeks to possess the daughter of the ringmaster at any cost.,1927-06-03,1927,Horror
Train to Busan,"Martial law is declared when a mysterious viral outbreak pushes Korea into a state of emergency. Those on an express train to Busan, a city that has successfully fended off the viral outbreak, must fight for their own survival…",2016-07-20,2016,Horror
The Lighthouse,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,2019-10-18,2019,Horror
Lunacy,Loosely based on two short stories by Edgar Allan Poe and inspired by the works of the Marquis de Sade. In 19th century France a young man is plagued by nightmares in which he is dragged off to a madhouse. On the journey back from his mother’s funeral he is invited by a Marquis he meets at lunch to spend the night in his castle. There he witnesses a blasphemous orgy and a ‘therapeutic’ funeral. He tries to flee but is taken to a lunatic asylum where the patients have complete freedom and the staff are locked up behind bars.,2005-11-17,2005,Horror
Strangler vs Strangler,"When it comes to crime, Belgrade is same as any other modern metropolis, except for having its own serial killers. That blank is filled when a flower salesman begins strangling women. A popular, but very disturbed rock star soon becomes telepathically connected with the killer.",1984-06-18,1984,Horror
Night of the Living Dead,A group of people try to survive an attack of bloodthirsty zombies while trapped in a rural Pennsylvania farmhouse.,1968-10-01,1968,Horror
The Testament of Dr. Mabuse,"After a detective is assaulted by thugs and placed in an asylum run by Professor Baum, he observes the professor's preoccupation with another patient, the criminal genius Dr. Mabuse the hypnotist. When Mabuse's notes are found to be connected with a rash of recent crimes, Commissioner Lohmann must determine how Mabuse is communicating with the criminals, despite conflicting reports on the doctor's whereabouts, and capture him for good.",1933-04-21,1933,Horror
"Dr. Mabuse, the Gambler","Arch-criminal Dr. Mabuse, who is a master of disguise and has been hypnotising people into doing his bidding, sets out to make a fortune and run Berlin. Detective Wenk sets out to stop him.",1922-04-27,1922,Horror
King Kong,"A film crew discovers the ""eighth wonder of the world,"" a giant prehistoric ape, and brings him back to New York, where he wreaks havoc.",1933-03-15,1933,Horror
The Exorcist,"12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.",1973-12-26,1973,Horror
Frankenstein: The True Story,"This much-requested, made-for-TV adaptation of Mary Shelley's novel stars Michael Sarrazin as the creature given life by Victor Frankenstein (Leonard Whiting), who witnesses his creation turn uncontrollable after he's duped by his associate, Dr. Polidori (James Mason). David McCallum, Jane Seymour, Ralph Richardson, John Gielgud and Tom Baker also star.",1973-11-28,1973,Horror
Alice,"A quiet young English girl named Alice finds herself in an alternate version of her own reality after chasing a white rabbit. She becomes surrounded by living inanimate objects and stuffed dead animals, and must find a way out of this nightmare- no matter how twisted or odd that way must be. A memorably bizarre screen version of Lewis Carroll’s novel ‘Alice’s Adventures in Wonderland’.",1988-08-03,1988,Horror
Don't Hug Me I'm Scared,A disturbing puppet short exploring the concept of creativity.,2011-07-25,2011,Horror
Jaws,"When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.",1975-06-18,1975,Horror
Cigarette Burns,"With a torrid past that haunts him, a movie theatre owner is hired to search for the only existing print of a film so notorious that its single screening caused the viewers to become homicidally insane.",2005-12-16,2005,Horror
Morgiana,"Jealous of her vapidly ""good"" sister's popularity, poisonous Viktoria doses pretty Klara's tea with a slow-acting fatal substance. As the latter grows hysterically weak, the former finds success increasingly compromised by guilt, blackmail, and the pesky need to kill others lest she be exposed.",1972-09-15,1972,Horror
Don't Torture a Duckling,A reporter and a promiscuous young woman try to solve a series of child killings in a remote southern Italian town rife with superstition and a distrust of outsiders.,1972-09-29,1972,Horror
Peeping Tom,"Loner Mark Lewis works at a film studio during the day and, at night, takes racy photographs of women. Also he's making a documentary on fear, which involves recording the reactions of victims as he murders them. He befriends Helen, the daughter of the family living in the apartment below his, and he tells her vaguely about the movie he is making. She sneaks into Mark's apartment to watch it and is horrified by what she sees -- especially when Mark catches her.",1960-04-06,1960,Horror
What We Do in the Shadows,Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.,2014-06-19,2014,Horror
Eraserhead,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",1977-03-19,1977,Horror
Black Swan,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,2010-12-03,2010,Horror
Hour of the Wolf,"An artist in crisis is haunted by nightmares from the past in Ingmar Bergman's only horror film, which takes place on a windy island. During ""the hour of the wolf"" - between midnight and dawn - he tells his wife about his most painful memories.",1968-02-19,1968,Horror
The Rocky Horror Picture Show,"Sweethearts Brad and Janet, stuck with a flat tire during a storm, discover the eerie mansion of Dr. Frank-N-Furter, a transvestite scientist. As their innocence is lost, Brad and Janet meet a houseful of wild characters, including a rocking biker and a creepy butler. Through elaborate dances and rock songs, Frank-N-Furter unveils his latest creation: a muscular man named 'Rocky'.",1975-08-14,1975,Horror
Don't Hug Me I'm Scared 4,The fourth instalment in the surreal Don’t Hug Me I’m Scared videos in which the three returning characters enter a sinister digital world through their computer.,2015-03-31,2015,Horror
Eyes Without a Face,"Dr. Génessier is riddled with guilt after an accident that he caused disfigures the face of his daughter, the once beautiful Christiane, who outsiders believe is dead. Dr. Génessier, along with accomplice and laboratory assistant Louise, kidnaps young women and brings them to the Génessier mansion. After rendering his victims unconscious, Dr. Génessier removes their faces and attempts to graft them on to Christiane's.",1960-01-11,1960,Horror
Evil Dead II,"Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.",1987-03-13,1987,Horror
Soldiers Of The Damned,"WWII German soldiers take an occult scientist into a haunted forest in Romania, only to be confronted by their own ghosts.",2017-12-07,2017,Horror
Swallow,"Hunter, a newly pregnant housewife, finds herself increasingly compelled to consume dangerous objects. As her husband and his family tighten their control over her life, she must confront the dark secret behind her new obsession.",2020-01-15,2020,Horror
An Evening of Edgar Allan Poe,"A collection of 4 Poe stories narrated by Vincent Price: 1) The Telltale Heart, 2) Pit and the Pendulum, 3) The Sphinx, and 4) The Cask of Amontillado.",1970-01-01,1970,Horror
Phantom of the Paradise,"In this rock opera hybrid of Phantom of the Opera and Faust, fledgling singer-songwriter Winslow Leach finds himself double-crossed by the nefarious music producer Swan, who steals both his music and the girl Leach wants to sing it, Phoenix, for the grand opening of his rock palace, The Paradise. After Swan sends Leach to prison for trespassing, Leach endures a freak accident which leaves him disfigured and plans his revenge on both Swan and The Paradise, becoming the Phantom of the Paradise.",1974-10-31,1974,Horror
Suspiria,"From the moment she arrives in Freiberg, Germany, to attend the prestigious Tanz Academy, American ballet-dancer Suzy Bannion senses that something horribly evil lurks within the walls of the age-old institution.",1977-02-01,1977,Horror
The Others,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions.",2001-08-02,2001,Horror
Mother Joan of the Angels,A priest is sent to a small parish in the Polish countryside which is believed to be under demonic possession and there he finds his own temptations awaiting.,1961-02-09,1961,Horror
Don't Hug Me I'm Scared 2: TIME,Step back into the imaginative and frankly terrifying world of Becky & Joe with Don’t Hug Me I’m Scared. In this episode: Some things change over Time.,2014-01-08,2014,Horror
The Skin I Live In,A brilliant plastic surgeon creates a synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.,2011-08-17,2011,Horror
The Backwater Gospel,Backwater is doomed by the regular visits of the undertaker and its dwellers blame a tramp.,2011-01-01,2011,Horror
The Bride of Frankenstein,"Bride of Frankenstein begins where James Whale's Frankenstein from 1931 ended. Dr. Frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. Yet when his wife is kidnapped by his creation, Frankenstein agrees to help him create a new monster, this time a woman.",1935-04-20,1935,Horror
Un Chien Andalou,Un Chien Andalou is a classic European avant-garde surrealist film from the cooperation of director Luis Buñuel and Salvador Dali. The film changed the way people made movies. Most famous is the scene of a woman’s eye being cut with a knife.,1929-06-05,1929,Horror
Shaun of the Dead,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.",2004-04-09,2004,Horror
K-12,"Cry Baby, a strong and sensitive girl, is sent off to a disturbing sleepaway school that’s hidden underneath a grandiose façade. Luckily, she has a sweet and unapologetic best friend who sticks up for her when she gets bullied by the other students whose brains are under control by the Principal and his wicked staff. With the help of the magical friends they meet along the way, as well as an Angelic Spirit Guide, they are able to gain the strength they need to fight off the school’s belligerent patriarchal conditioning.",2019-09-05,2019,Horror
Halloween,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",1978-10-24,1978,Horror
Get Out,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",2017-02-24,2017,Horror
Dawn of the Dead,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.",1978-09-02,1978,Horror
Repulsion,"In Roman Polanski's first English-language film, beautiful young manicurist Carole suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen, leaves their London flat to go on an Italian holiday with her married boyfriend, Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness.",1965-06-01,1965,Horror
Kuroneko,"In the Sengoku period, a woman and her daughter are raped and murdered by soldiers during a time of civil war. Afterwards, a series of samurai returning from the war through that area are found mysteriously dead with their throats torn out. The governor calls in a wild and fierce young hero to quell what is evidently an Onryō ghost. He encounters the two beautiful women in an eerie, beautiful scene. After spiritual purification, he meets the demon in a thrilling fight.",1968-02-24,1968,Horror
Häxan,"Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous.",1922-09-18,1922,Horror
Birdboy: The Forgotten Children,"Birdboy and his animal friends plan their escape from an ecologically devastated island in this surreal, animated fantasy.",2017-02-24,2017,Horror
Let the Right One In,"Set in 1982 in the suburb of Blackeberg, Stockholm, twelve-year-old Oskar is a lonely outsider, bullied at school by his classmates; at home, Oskar dreams of revenge against a trio of bullies. He befriends his twelve-year-old, next-door neighbor Eli, who only appears at night in the snow-covered playground outside their building.",2008-01-26,2008,Horror
Frankenstein,Dr Henry Frankenstein is obsessed with assembling a living being from parts of several exhumed corpses.,1931-11-21,1931,Horror
Nosferatu the Vampyre,"Jonathan Harker, a real state agent, goes to Transylvania to visit the mysterious Count Dracula and formalize the purchase of a property in Wismar. Once Jonathan is caught under his evil spell, Dracula travels to Wismar where he meets the beautiful Lucy, Jonathan's wife, while a plague spreads through the town, now ruled by death.",1979-01-17,1979,Horror
The Birds,"Chic socialite Melanie Daniels enjoys a passing flirtation with an eligible attorney in a San Francisco pet shop and, on an impulse, follows him to his hometown bearing a gift of lovebirds. But upon her arrival, the bird population runs amok. Suddenly, the townsfolk face a massive avian onslaught, with the feathered fiends inexplicably attacking people all over Bodega Bay.",1963-03-28,1963,Horror
The Hunchback of Notre Dame,"Paris, France, 1482. Frollo, Chief Justice of benevolent King Louis XI, gets infatuated by the beauty of Esmeralda, a gypsy young girl. The hunchback Quasimodo, Frollo's protege and bell-ringer of Notre Dame, lives in peace among the bells in the heights of the immense cathedral until he is involved by the twisted magistrate in his malicious plans to free himself from Esmeralda's alleged spell, which he believes to be the devil's work.",1939-12-29,1939,Horror
The Invisible Man,"Working in Dr. Cranley’s laboratory, scientist Jack Griffin was always given the latitude to conduct some of his own experiments. His sudden departure, however, has Cranley’s daughter Flora worried about him. Griffin has taken a room at the nearby Lion’s Head Inn, hoping to reverse an experiment he conducted on himself that made him invisible. But the experimental drug has also warped his mind, making him aggressive and dangerous. He’s prepared to do whatever it takes to restore his appearance.",1933-11-03,1933,Horror
Beauty and the Beast,"Julie, the youngest daughter of a bankrupt merchant, sacrifices her life in order to save her father. She goes to an enchanted castle in the woods and meets Netvor, a bird-like monster. As Netvor begins to fall in love with Julie, he must suppress his beastly urge to kill her.",1978-03-01,1978,Horror
Fino All'Inferno,,2018-08-02,2018,Horror
Demonte Colony,"Four friends go into a haunted mansion on a whim but they do not realize that they have returned home with an evil spirit, from which escape might be impossible.",2015-05-22,2015,Horror
The Laplace's Demon,"A glass in free fall. Have you ever thought if it is possible to calculate into how many pieces it can break into? After numerous experiments, a team of researchers succeeds in doing just this apparently impossible task. Attracted to their experiment, a mysterious professor invites the scientists in his isolated mansion to know more about their studies. However, when they arrive, they are not greeted by their host but they are faced with a strange model of the mansion, in which some absolutely normal but incredible actions are acted. The researchers will soon understand to be involved in a new experiment in which they'll have to play a very different role than usual: that of the glass in free fall.",2017-07-21,2017,Horror
The Innocents,A young governess for two children becomes convinced that the house and grounds are haunted.,1961-12-15,1961,Horror
The Vanishing,"Rex and Saskia are enjoying a biking holiday in France when, stopping at a gas station, Saskia disappears. Confounded, Rex searches everywhere, but to no avail. Three years later, he's still obsessed with finding her, pleading his case on television, putting up posters and ruining his new relationship in the process. Eventually an unassuming chemistry teacher, Raymond, approaches Rex, intimating that he knows what happened.",1988-10-27,1988,Horror
The Conjuring,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.",2013-03-20,2013,Horror
Invasion of the Body Snatchers,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,1956-02-05,1956,Horror
The Chicken from Outer Space,"An elderly couple's dog must defend them from a malicious space chicken, bent on conquest by infecting them with mutagenic eggs. First this quiet farm in the middle of nowhere, next, the world!",1996-02-18,1996,Horror
Black Sunday,A vengeful witch and her fiendish servant return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant. Only the girl's brother and a handsome doctor stand in her way.,1960-08-11,1960,Horror
Vampyr,"Traveler Allan Gray arrives in the village of Courtempierre and takes lodgings in a small inn. Gray has a great interest in the supernatural, particularly vampires. He's barely settled in when he feels a sinister force descending upon him. In the night an old man enters his room to tell him 'she must not die'. One of the old man's daughters, Leone, has been bitten by a vampire. In order to break the curse, Gray and Leone's sister Gisele must find the original vampire and drive a stake through her heart.",1932-05-06,1932,Horror
Scream: Halloween Special,Emma struggles to focus on her future; Noah and Stavo have combined forces to create a best-selling graphic novel based on the murders; Audrey finds herself in a new relationship.,2016-10-18,2016,Horror
City of Pirates,"A surreal odyssey in which a melancholic maidservant crosses paths with a homicidal little boy, travels to a tiny island of pirates and encounters a man with multiple personalities.",1984-02-22,1984,Horror
Little Otik,"When a childless couple learn that they cannot have children, it causes great distress. To ease his wife's pain, the man finds a piece of root in the backyard and chops it and varnishes it into the shape of a child. However the woman takes the root as her baby and starts to pretend that it is real.",2001-01-25,2001,Horror
Touch of Evil,"Some of 2011's stand-out film actors appear in ""a video gallery of cinematic villainy"" for New York Times Magazine.",2011-12-06,2011,Horror
Todd McFarlane's Spawn,"Todd McFarlane's Spawn is an animated television series which aired on HBO from 1997 through 1999. It is also released on DVD as a film series. It is based on the Spawn comic series from Image Comics, and was nominated for and won an Emmy in 1999 for Outstanding Animation Program (longer than one hour)",1997-05-15,1997,Horror
Blood and Black Lace,"Inspector Sylvester is assigned to investigate the violent murder of a fashion house model Isabella, by a masked assailant. As the investigation proceeds all of the house’s various sins, including corruption, abortions, blackmail and drug addiction, begin to come to light. It turns out that Isabella had kept a diary detailing these vices, and now almost every employee becomes nervous.",1964-04-10,1964,Horror
Scaredy Cat,"Porky and Sylvester spend the night in an old dark house, whose horrors only Sylvester sees. His repeated attempts to save Porky from the ghoulish doings of the killer mice infesting the place only make the skeptical Porky all the more convinced of Sylvester's cowardice.",1948-12-18,1948,Horror
